matrix_group,scale,instance_id,mode,baseline_name,candidate_name,seed_builder,initial_column_count,full_universe_column_count,full_universe_preloaded,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,official_lower_bound_source,official_lower_bound_scope,B0_direct_objective,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective,root_lp_bound,root_lp_bound_official,root_bound_le_B0_objective,pricing_round_count,final_judge_call_count,candidate_negative_count,addable_negative_count,duplicate_in_current_master_count,in_pool_not_master_count,forbidden_signature_count,branch_filtered_count,cut_filtered_count,selected_count,selected_would_enter_master_count,selected_all_would_enter_master,added_to_master_count,added_column_count,duplicate_only_count,duplicate_only_audit_status,hidden_negative_count,replacement_only_round_count,manual_rc_audit_pass,pricing_rc_audit_pass,proof_debt_unreleased_count,product_exact_solution_scope,product_exact_solution_count,product_exact_objective,direct_dp_fallback_used,direct_dp_fallback_count,rmp_wall_time,worker_status,diagnostic_dual_source,diagnostic_rmp_iteration_id,diagnostic_dual_fingerprint,worker_wall_time,final_judge_wall_time,time_to_first_negative,time_to_first_addable_negative,labels_generated,labels_generated_before_first_negative,labels_generated_total,labels_extended,sortie_templates,journey_labels,candidate_sequences,path_option_assignments,resource_prune_count,time_window_prune_count,dominance_prune_count,bound_prune_count,bound_check_time,dominance_time,cache_hit_count,cache_miss_count,max_queue_size,peak_label_count,worker_call_count,worker_found_negative_count,worker_found_addable_negative_count,worker_no_column_uncertified_count,worker_incomplete_count,final_judge_saved_by_worker_count,exit_reason,exact_first_step_bound_pruning_enabled,exact_first_step_bound_evaluated_count,would_prune_count_if_enabled,completion_bound_pruning_enabled,proof_tail_kernel_profile_enabled,wall_time,fail_closed_reason,attempted_exception_type,attempted_max_direct_tasks,rmp_memory_precheck_failed,rmp_memory_precheck_stage,rmp_memory_precheck_reason,rmp_memory_precheck_estimated_column_count,rmp_memory_precheck_estimated_tableau_cells,rmp_memory_precheck_cell_limit,certificate_scope_regression,objective_mismatch,improvement_reason
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B0_pure_direct_dp,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,,0,,False,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,2.014478,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,,False,,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,,0,,False,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,0.1518,,,,False,,,,,,False,False,
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B1A_full_universe_root_audit,accepted_B1,B1A_full_universe_root_audit,,232,232,True,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,2.014478,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,2.014478,True,True,1,1,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,True,True,0,,0,,False,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,0.1805,,,,False,,,,,,False,False,
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B1B_seeded_root_CG,accepted_B1,B1B_seeded_root_CG,,12,232,False,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,2.014478,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,2.014478,True,True,3,3,0,0,0,0,0,0,0,0,0,True,146,146,0,,0,0,True,True,0,,0,,False,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,0.177965,,,,False,,,,,,False,False,
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B2_PRODUCT_EXACT_SOLVER,fixed_graph_direct_dp_product_exact,B2_PRODUCT_EXACT_SOLVER,,0,,False,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,,,2.014478,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,,False,,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,DIRECT_DP_FIXED_GRAPH_OPTIMAL,1,2.014478,True,1,,,,,,,,,,686,,686,0,0,232,0,7392,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,1.4e-05,,,,False,,,,,,False,False,
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B2A_full_universe_rc_audit_fast_path,B1A_full_universe_root_audit,B2A_full_universe_rc_audit_fast_path,,232,232,True,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2a_full_universe_membership_rc_audit,BPC_NODE_LP_CERTIFIED,2.014478,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,2.014478,True,True,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,True,True,0,,0,,False,0,0.0,,,,,0.0,0.0,,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,0.182003,,,,False,,,,,,False,False,"final_judge_call_count_lower,final_judge_wall_time_lower"
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B2B_seeded_tail_CG,B1B_seeded_root_CG,B2B_seeded_tail_CG,,12,232,False,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,2.014478,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,2.014478,True,True,3,3,151,151,0,0,0,0,0,127,127,True,127,127,0,,0,0,True,True,0,,0,,False,0,0.0,,,,,0.0,0.153484,,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,0.635358,,,,False,,,,,,False,False,final_judge_wall_time_lower
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B2B_R2_worker_before_final_judge,B1B_seeded_root_CG,B2B_R2_worker_before_final_judge,b2b_r2_lightweight_no_full_universe_enumeration,12,,False,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_r2_true_dual_final_judge_closure,BPC_NODE_LP_CERTIFIED,2.014478,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,2.014478,True,True,7,4,141,141,0,0,0,0,0,141,141,True,93,93,0,,58,0,True,True,0,,0,,False,0,0.014166,LOCAL_NO_COLUMN_UNCERTIFIED,master.reduced_cost_context,B2B_R2_worker_before_final_judge-root-7,acae76fb0277ee8aaf6de5a3eb3596b553fdf4a29918dbacbae808a6dc55a1d3,0.487671,0.620338,0.056922,0.056922,7163,478,7163,111794,436325,863,1363,111794,0,0,0,0,0.0,0.0,338,97,0,723,7,3,3,4,0,3,FINAL_JUDGE_CERTIFIED_NO_NEGATIVE,False,7163,0,False,True,1.134455,,,,False,,,,,,False,False,"time_to_first_addable_negative_available,worker_found_addable_negative"
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B2B_R3_true_dual_negative_search_worker,B1B_seeded_root_CG,B2B_R3_true_dual_negative_search_worker,b2b_r3_lightweight_no_full_universe_enumeration,12,,False,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_r3_true_dual_final_judge_closure,BPC_NODE_LP_CERTIFIED,2.014478,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,2.014478,True,True,7,4,141,141,0,0,0,0,0,141,141,True,93,93,0,,58,0,True,True,0,,0,,False,0,0.015666,LOCAL_NO_COLUMN_UNCERTIFIED,master.reduced_cost_context,B2B_R3_true_dual_negative_search_worker-root-7,feabb48b90085689b01fdd99b0a566eba77f31ae4358816d89476eccad1b220d,0.482707,0.640307,0.057722,0.057722,7163,478,7163,111794,436325,863,1363,111794,0,0,0,0,0.0,0.0,338,97,0,723,7,3,3,4,0,3,FINAL_JUDGE_CERTIFIED_NO_NEGATIVE,False,7163,0,False,True,1.15016,,,,False,,,,,,False,False,"time_to_first_addable_negative_available,worker_found_addable_negative"
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B2C_limited_pricing_diagnostic,diagnostic_only_no_certificate,B2C_limited_pricing_diagnostic,,0,,False,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,FOUND_NEGATIVE,False,,,2.014478,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,,False,,0,0,5,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,,0,,False,0,0.00016,,master.reduced_cost_context,B2C_limited_pricing_diagnostic-diagnostic-root,8558705b2ca8405d5e7d92ff51df6aab75d41bb5c9fa34ffe96193a82bec3d20,1.439103,0.0,1.439103,,366,366,366,0,1338,8,6,276358,0,0,0,0,,,0,6,0,0,0,0,0,0,0,0,FOUND_NEGATIVE,False,0,0,False,False,1.442598,B2C_limited_pricing_diagnostic: limited pricing diagnostic cannot certify no-negative or provide an official bound.,,,False,,,,,,False,False,
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B2D_proof_tail_kernel_profile,diagnostic_only_no_certificate,B2D_proof_tail_kernel_profile,,0,,False,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,FOUND_NEGATIVE,False,,,2.014478,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,,False,,0,0,5,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,,0,,False,0,0.000163,,master.reduced_cost_context,B2D_proof_tail_kernel_profile-diagnostic-root,68d27874a932c8ec446adc46467b24b21f93c8145966a9868fbabc1923f313ca,1.421127,0.0,1.421127,,366,366,366,0,1338,8,6,276358,0,0,0,0,,,0,6,0,0,0,0,0,0,0,0,FOUND_NEGATIVE,False,0,0,False,True,1.424722,B2D_proof_tail_kernel_profile: limited pricing diagnostic cannot certify no-negative or provide an official bound.,,,False,,,,,,False,False,
