matrix_group,scale,instance_id,mode,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,bpc_certificate_status,official_lower_bound_source,official_lower_bound_scope,best_diagnostic_bound_source,B0_direct_objective,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective,B1_root_lp_bound,root_lp_bound_official,root_lp_bound_le_direct_dp_integer_objective,root_lp_vs_direct_dp_gap,integral_root,pricing_round_count,added_column_count,manual_rc_audit_pass,pricing_rc_audit_pass,proof_debt_unreleased_count,wall_time,fail_closed_reason,attempted_exception_type,attempted_max_direct_tasks,rmp_memory_precheck_failed,rmp_memory_precheck_stage,rmp_memory_precheck_reason,rmp_memory_precheck_estimated_column_count,rmp_memory_precheck_estimated_tableau_cells,rmp_memory_precheck_cell_limit,direct_root_official_leak,b1_mode,seed_mode,initial_column_count,full_universe_column_count,full_universe_preloaded
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,2.014478,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,,False,,,,0,0,,,0,0.167536,,,,False,,,,,,False,,,,,
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.014478,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,2.014478,True,True,0.0,True,1,0,True,True,0,0.345155,,,,False,,,,,,False,B1A_full_universe_root_audit,full_universe,232,232,True
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,2.014478,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,2.014478,True,True,0.0,True,3,146,True,True,0,0.346939,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,12,232,False
10-scale full normalized objective,10,lunar_ice_sp50_010_002_seed729002,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1.825155,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2579.267695,88.177938994,2326.358649407,960.0,False,1743.662965,65.552801,2359.564384,668.093986,2753.04152,0.676030242,0.743414983,1.014273695,0.695931235,1.825155,1.825155,False,,False,,,,0,0,,,0,0.103603,,,,False,,,,,,False,,,,,
10-scale full normalized objective,10,lunar_ice_sp50_010_002_seed729002,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1.825155,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2579.267695,88.177938994,2326.358649407,960.0,False,1743.662965,65.552801,2359.564384,668.093986,2753.04152,0.676030242,0.743414983,1.014273695,0.695931235,1.825155,1.825155,False,1.825155,True,True,0.0,True,1,0,True,True,0,0.22327,,,,False,,,,,,False,B1A_full_universe_root_audit,full_universe,239,239,True
10-scale full normalized objective,10,lunar_ice_sp50_010_002_seed729002,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1.825155,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2579.267695,88.177938994,2326.358649407,960.0,False,1743.662965,65.552801,2359.564384,668.093986,2753.04152,0.676030242,0.743414983,1.014273695,0.695931235,1.825155,1.825155,False,1.825155,True,True,0.0,True,3,80,True,True,0,0.201185,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,12,239,False
10-scale full normalized objective,10,lunar_ice_sp50_010_004_seed729004,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1.943638,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2368.053415,80.880256063,2299.295848928,960.0,False,1765.19261,64.038399,2336.376082,642.015298,2763.781442,0.745419254,0.791768005,1.016126778,0.668765935,1.943638,1.943638,False,,False,,,,0,0,,,0,0.181746,,,,False,,,,,,False,,,,,
10-scale full normalized objective,10,lunar_ice_sp50_010_004_seed729004,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1.943638,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2368.053415,80.880256063,2299.295848928,960.0,False,1765.19261,64.038399,2336.376082,642.015298,2763.781442,0.745419254,0.791768005,1.016126778,0.668765935,1.943638,1.943638,False,1.943638,True,True,0.0,True,1,0,True,True,0,0.39629,,,,False,,,,,,False,B1A_full_universe_root_audit,full_universe,228,228,True
10-scale full normalized objective,10,lunar_ice_sp50_010_004_seed729004,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1.943638,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2368.053415,80.880256063,2299.295848928,960.0,False,1765.19261,64.038399,2336.376082,642.015298,2763.781442,0.745419254,0.791768005,1.016126778,0.668765935,1.943638,1.943638,False,1.943638,True,True,0.0,True,3,90,True,True,0,0.38256,,,,False,,,,,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,12,228,False
10-scale full normalized objective,10,lunar_ice_sp50_010_007_seed729007,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1.988918,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2198.67171,76.06298199,2095.317287176,960.0,False,1700.924798,59.655594,2257.761078,807.939788,2663.684823,0.773614719,0.784292075,1.077527061,0.841603946,1.988918,1.988918,False,,False,,,,0,0,,,0,0.170236,,,,False,,,,,,False,,,,,
