matrix_group,scale,instance_id,mode,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,B0_direct_objective,reference_solution_upper_bound,reference_solution_upper_bound_source,direct_bound_pruning_root_bound,direct_bound_pruning_active,journey_label_bound_pruned_count,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective,B2B_R3_root_lp_bound,B3_global_lb,B3_global_ub,B3_global_gap,objective_diff_vs_B0,B3_tree_closed,BPC_TREE_OPTIMAL_count,BPC_NODE_LP_CERTIFIED_count,node_count,evaluated_node_count,open_node_count,incomplete_node_count,pruned_by_bound_count,integer_incumbent_count,branch_count,max_depth_reached,NO_FRACTIONAL_RF_PAIR_count,manual_rc_audit_pass,pricing_rc_audit_pass,branch_pricing_audit_pass,proof_debt_unreleased_count,selected_harvest_addability_fail_count,all_node_ledgers_valid,direct_dp_used_as_bpc_certificate,root_bound_gt_B0_violation,tree_incumbent_diff_vs_B0,certificate_scope_regression,manual_rc_fail,pricing_rc_fail,branch_pricing_audit_fail,proof_debt_unreleased_certified,direct_dp_certificate_leak,NO_FRACTIONAL_RF_PAIR_treated_as_integral,open_node_but_tree_optimal,incomplete_node_but_tree_optimal,wall_time,fail_closed_reason,attempted_exception_type,attempted_max_direct_tasks,rmp_memory_precheck_failed,rmp_memory_precheck_stage,rmp_memory_precheck_reason,rmp_memory_precheck_estimated_column_count,rmp_memory_precheck_estimated_tableau_cells,rmp_memory_precheck_cell_limit
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,2.014478,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.157078,,,,False,,,,,
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B2_PRODUCT_EXACT_SOLVER,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,2.014478,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.161624,,,,False,,,,,
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B2B_R3_true_dual_negative_search_worker,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2.014478,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,2.014478,,,,0.0,False,0,1,0,0,0,0,0,0,0,0,0,True,True,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,1.372052,,,,False,,,,,
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B3A_full_universe_branch_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2.014478,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,,2.014478,,,0.0,False,0,1,1,1,0,0,0,0,0,0,0,True,True,True,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.870377,,,,False,,,,,
10-scale full normalized objective,10,lunar_ice_sp50_010_001_seed729001,B3B_seeded_branch_price_tree,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,2.014478,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2614.73482,95.312754722,2743.362534722,960.0,False,2080.962528,76.513612,2852.099104,779.299484,3298.315782,0.795859875,0.80276362,1.039636238,0.811770296,2.014478,2.014478,False,,2.014478,2.014478,0.0,0.0,True,1,1,1,1,0,0,0,1,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,1.698557,,,,False,,,,,
10-scale full normalized objective,10,lunar_ice_sp50_010_002_seed729002,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,1.825155,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2579.267695,88.177938994,2326.358649407,960.0,False,1743.662965,65.552801,2359.564384,668.093986,2753.04152,0.676030242,0.743414983,1.014273695,0.695931235,1.825155,1.825155,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.100856,,,,False,,,,,
10-scale full normalized objective,10,lunar_ice_sp50_010_002_seed729002,B2_PRODUCT_EXACT_SOLVER,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,1.825155,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2579.267695,88.177938994,2326.358649407,960.0,False,1743.662965,65.552801,2359.564384,668.093986,2753.04152,0.676030242,0.743414983,1.014273695,0.695931235,1.825155,1.825155,False,,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.100273,,,,False,,,,,
10-scale full normalized objective,10,lunar_ice_sp50_010_002_seed729002,B2B_R3_true_dual_negative_search_worker,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1.825155,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2579.267695,88.177938994,2326.358649407,960.0,False,1743.662965,65.552801,2359.564384,668.093986,2753.04152,0.676030242,0.743414983,1.014273695,0.695931235,1.825155,1.825155,False,1.825155,,,,0.0,False,0,1,0,0,0,0,0,0,0,0,0,True,True,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.785716,,,,False,,,,,
10-scale full normalized objective,10,lunar_ice_sp50_010_002_seed729002,B3A_full_universe_branch_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,1.825155,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2579.267695,88.177938994,2326.358649407,960.0,False,1743.662965,65.552801,2359.564384,668.093986,2753.04152,0.676030242,0.743414983,1.014273695,0.695931235,1.825155,1.825155,False,,1.825155,,,0.0,False,0,1,1,1,0,0,0,0,0,0,0,True,True,True,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.629748,,,,False,,,,,
10-scale full normalized objective,10,lunar_ice_sp50_010_002_seed729002,B3B_seeded_branch_price_tree,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,1.825155,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,2579.267695,88.177938994,2326.358649407,960.0,False,1743.662965,65.552801,2359.564384,668.093986,2753.04152,0.676030242,0.743414983,1.014273695,0.695931235,1.825155,1.825155,False,,1.825155,1.825155,0.0,0.0,True,1,1,1,1,0,0,0,1,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,1.002609,,,,False,,,,,
