matrix_group,scale,instance_id,mode,baseline_name,candidate_name,seed_builder,initial_column_count,full_universe_column_count,full_universe_preloaded,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,official_lower_bound_source,official_lower_bound_scope,B0_direct_objective,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective,root_lp_bound,root_lp_bound_official,root_bound_le_B0_objective,pricing_round_count,final_judge_call_count,candidate_negative_count,addable_negative_count,duplicate_in_current_master_count,in_pool_not_master_count,forbidden_signature_count,branch_filtered_count,cut_filtered_count,selected_count,selected_would_enter_master_count,selected_all_would_enter_master,added_to_master_count,added_column_count,duplicate_only_count,duplicate_only_audit_status,hidden_negative_count,replacement_only_round_count,manual_rc_audit_pass,pricing_rc_audit_pass,proof_debt_unreleased_count,product_exact_solution_scope,product_exact_solution_count,product_exact_objective,direct_dp_fallback_used,direct_dp_fallback_count,rmp_wall_time,worker_status,diagnostic_dual_source,diagnostic_rmp_iteration_id,diagnostic_dual_fingerprint,worker_wall_time,final_judge_wall_time,time_to_first_negative,time_to_first_addable_negative,labels_generated,labels_generated_before_first_negative,labels_generated_total,labels_extended,sortie_templates,journey_labels,candidate_sequences,path_option_assignments,resource_prune_count,time_window_prune_count,dominance_prune_count,bound_prune_count,bound_check_time,dominance_time,cache_hit_count,cache_miss_count,max_queue_size,peak_label_count,worker_call_count,worker_found_negative_count,worker_found_addable_negative_count,worker_no_column_uncertified_count,worker_incomplete_count,final_judge_saved_by_worker_count,exit_reason,exact_first_step_bound_pruning_enabled,exact_first_step_bound_evaluated_count,would_prune_count_if_enabled,completion_bound_pruning_enabled,proof_tail_kernel_profile_enabled,wall_time,fail_closed_reason,attempted_exception_type,attempted_max_direct_tasks,rmp_memory_precheck_failed,rmp_memory_precheck_stage,rmp_memory_precheck_reason,rmp_memory_precheck_estimated_column_count,rmp_memory_precheck_estimated_tableau_cells,rmp_memory_precheck_cell_limit,certificate_scope_regression,objective_mismatch,improvement_reason
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B0_pure_direct_dp,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,,0,,False,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,2.191915,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,1603.616094,0.914075295,0.847824696,1.075037649,0.71148631,2.191915,2.191915,False,,False,,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,,0,,False,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,0.005444,,,,False,,,,,,False,False,
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B1A_full_universe_root_audit,accepted_B1,B1A_full_universe_root_audit,,31,31,True,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,2.191915,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,1603.616094,0.914075295,0.847824696,1.075037649,0.71148631,2.191915,2.191915,False,2.191915,True,True,1,1,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,True,True,0,,0,,False,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,0.006723,,,,False,,,,,,False,False,
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B1B_seeded_root_CG,accepted_B1,B1B_seeded_root_CG,,6,31,False,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,2.191915,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,1603.616094,0.914075295,0.847824696,1.075037649,0.71148631,2.191915,2.191915,False,2.191915,True,True,3,3,0,0,0,0,0,0,0,0,0,True,19,19,0,,0,0,True,True,0,,0,,False,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,0.007001,,,,False,,,,,,False,False,
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B2_PRODUCT_EXACT_SOLVER,fixed_graph_direct_dp_product_exact,B2_PRODUCT_EXACT_SOLVER,,0,,False,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,,,2.191915,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,1603.616094,0.914075295,0.847824696,1.075037649,0.71148631,2.191915,2.191915,False,,False,,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,DIRECT_DP_FIXED_GRAPH_OPTIMAL,1,2.191915,True,1,,,,,,,,,,62,,62,0,0,31,0,267,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,1.1e-05,,,,False,,,,,,False,False,
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B2A_full_universe_rc_audit_fast_path,B1A_full_universe_root_audit,B2A_full_universe_rc_audit_fast_path,,31,31,True,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2a_full_universe_membership_rc_audit,BPC_NODE_LP_CERTIFIED,2.191915,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,1603.616094,0.914075295,0.847824696,1.075037649,0.71148631,2.191915,2.191915,False,2.191915,True,True,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,True,True,0,,0,,False,0,0.0,,,,,0.0,0.0,,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,0.007854,,,,False,,,,,,False,False,"final_judge_call_count_lower,final_judge_wall_time_lower"
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B2B_seeded_tail_CG,B1B_seeded_root_CG,B2B_seeded_tail_CG,,6,31,False,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,2.191915,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,1603.616094,0.914075295,0.847824696,1.075037649,0.71148631,2.191915,2.191915,False,2.191915,True,True,3,3,19,19,0,0,0,0,0,19,19,True,19,19,0,,0,0,True,True,0,,0,,False,0,0.0,,,,,0.0,0.005026,,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,0.023038,,,,False,,,,,,False,False,final_judge_wall_time_lower
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B2B_R2_worker_before_final_judge,B1B_seeded_root_CG,B2B_R2_worker_before_final_judge,b2b_r2_lightweight_no_full_universe_enumeration,6,,False,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_r2_true_dual_final_judge_closure,BPC_NODE_LP_CERTIFIED,2.191915,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,1603.616094,0.914075295,0.847824696,1.075037649,0.71148631,2.191915,2.191915,False,2.191915,True,True,5,2,42,42,0,0,0,0,0,42,42,True,18,18,0,,0,0,True,True,0,,0,,False,0,0.001746,LOCAL_NO_COLUMN_UNCERTIFIED,master.reduced_cost_context,B2B_R2_worker_before_final_judge-root-5,f5a044f2879eea1c81c3df21c510c566cb6a59e7d3c16aa512e2206f9f7f742a,0.152805,0.010412,0.016807,0.016807,1341,221,1341,53251,5539,269,196,53251,0,0,0,0,0.0,0.0,105,29,0,306,5,4,4,1,0,3,FINAL_JUDGE_CERTIFIED_NO_NEGATIVE,False,1341,0,False,True,0.167793,,,,False,,,,,,False,False,"final_judge_call_count_lower,time_to_first_addable_negative_available,worker_found_addable_negative"
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B2B_R3_true_dual_negative_search_worker,B1B_seeded_root_CG,B2B_R3_true_dual_negative_search_worker,b2b_r3_lightweight_no_full_universe_enumeration,6,,False,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b2b_r3_true_dual_final_judge_closure,BPC_NODE_LP_CERTIFIED,2.191915,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,1603.616094,0.914075295,0.847824696,1.075037649,0.71148631,2.191915,2.191915,False,2.191915,True,True,5,2,42,42,0,0,0,0,0,42,42,True,18,18,0,,0,0,True,True,0,,0,,False,0,0.001596,LOCAL_NO_COLUMN_UNCERTIFIED,master.reduced_cost_context,B2B_R3_true_dual_negative_search_worker-root-5,64b393e6d3f77ed86c598dbef5fe032e74f926d96d97c4fb8febbb511512b870,0.153381,0.010221,0.016283,0.016283,1341,221,1341,53251,5539,269,196,53251,0,0,0,0,0.0,0.0,105,29,0,306,5,4,4,1,0,3,FINAL_JUDGE_CERTIFIED_NO_NEGATIVE,False,1341,0,False,True,0.167737,,,,False,,,,,,False,False,"final_judge_call_count_lower,time_to_first_addable_negative_available,worker_found_addable_negative"
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B2C_limited_pricing_diagnostic,diagnostic_only_no_certificate,B2C_limited_pricing_diagnostic,,0,,False,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,FOUND_NEGATIVE,False,,,2.191915,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,1603.616094,0.914075295,0.847824696,1.075037649,0.71148631,2.191915,2.191915,False,,False,,0,0,1,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,,0,,False,0,0.000105,,master.reduced_cost_context,B2C_limited_pricing_diagnostic-diagnostic-root,2b5df380cfd5191eff54a6bd5b7d229ebf24ab86d04590263439bc6be5f6675a,0.046582,0.0,0.046582,,62,62,62,0,128,2,1,8630,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,FOUND_NEGATIVE,False,0,0,False,False,0.047631,B2C_limited_pricing_diagnostic: limited pricing diagnostic cannot certify no-negative or provide an official bound.,,,False,,,,,,False,False,
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B2D_proof_tail_kernel_profile,diagnostic_only_no_certificate,B2D_proof_tail_kernel_profile,,0,,False,BPC_INCOMPLETE_PRICING,DIAGNOSTIC_PRICING_FRONTIER,FOUND_NEGATIVE,False,,,2.191915,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,1603.616094,0.914075295,0.847824696,1.075037649,0.71148631,2.191915,2.191915,False,,False,,0,0,1,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,,0,,False,0,0.000108,,master.reduced_cost_context,B2D_proof_tail_kernel_profile-diagnostic-root,ea7f04edf9974159c5e906b34f93f04da205e52086372cd1a81a2b2666a49773,0.049024,0.0,0.049024,,62,62,62,0,128,2,1,8630,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,FOUND_NEGATIVE,False,0,0,False,True,0.050065,B2D_proof_tail_kernel_profile: limited pricing diagnostic cannot certify no-negative or provide an official bound.,,,False,,,,,,False,False,
5-scale full normalized objective,5,lunar_ice_sp50_005_002_seed679002,B0_pure_direct_dp,fixed_graph_direct_dp_oracle,B0_pure_direct_dp,,0,,False,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,,,2.363709,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1239.968705,45.559424359,1211.195510048,960.0,False,1209.807211,43.860077,1287.90292,783.251522,1768.828456,0.975675601,0.962700421,1.06333198,0.815887002,2.363709,2.363709,False,,False,,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,,,0,,0,,False,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,0.005439,,,,False,,,,,,False,False,
5-scale full normalized objective,5,lunar_ice_sp50_005_002_seed679002,B1A_full_universe_root_audit,accepted_B1,B1A_full_universe_root_audit,,31,31,True,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,2.363709,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1239.968705,45.559424359,1211.195510048,960.0,False,1209.807211,43.860077,1287.90292,783.251522,1768.828456,0.975675601,0.962700421,1.06333198,0.815887002,2.363709,2.363709,False,2.363709,True,True,1,1,0,0,0,0,0,0,0,0,0,True,0,0,0,,0,0,True,True,0,,0,,False,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,0.007042,,,,False,,,,,,False,False,
5-scale full normalized objective,5,lunar_ice_sp50_005_002_seed679002,B1B_seeded_root_CG,accepted_B1,B1B_seeded_root_CG,,6,31,False,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,2.363709,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1239.968705,45.559424359,1211.195510048,960.0,False,1209.807211,43.860077,1287.90292,783.251522,1768.828456,0.975675601,0.962700421,1.06333198,0.815887002,2.363709,2.363709,False,2.363709,True,True,3,3,0,0,0,0,0,0,0,0,0,True,20,20,0,,0,0,True,True,0,,0,,False,0,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,False,0,0,False,False,0.007001,,,,False,,,,,,False,False,
