matrix_group,scale,instance_id,mode,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,B0_direct_objective,reference_solution_upper_bound,reference_solution_upper_bound_source,direct_bound_pruning_root_bound,direct_bound_pruning_active,journey_label_bound_pruned_count,objective_schema_version,objective_mode,objective_reference_cost,objective_reference_risk,objective_reference_completion,objective_reference_makespan_metric,objective_makespan_enters_pricing_objective,solution_raw_operating_cost,solution_raw_risk,solution_raw_weighted_completion_time,solution_raw_makespan,solution_raw_objective_unscaled_weighted_sum,solution_normalized_operating_cost,solution_normalized_risk,solution_normalized_weighted_completion_time,solution_normalized_makespan_metric,solution_normalized_objective,solution_official_objective,solution_makespan_enters_pricing_objective,B2B_R3_root_lp_bound,B3_global_lb,B3_global_ub,B3_global_gap,objective_diff_vs_B0,B3_tree_closed,BPC_TREE_OPTIMAL_count,BPC_NODE_LP_CERTIFIED_count,node_count,evaluated_node_count,open_node_count,incomplete_node_count,pruned_by_bound_count,integer_incumbent_count,branch_count,max_depth_reached,NO_FRACTIONAL_RF_PAIR_count,manual_rc_audit_pass,pricing_rc_audit_pass,branch_pricing_audit_pass,proof_debt_unreleased_count,selected_harvest_addability_fail_count,all_node_ledgers_valid,direct_dp_used_as_bpc_certificate,root_bound_gt_B0_violation,tree_incumbent_diff_vs_B0,certificate_scope_regression,manual_rc_fail,pricing_rc_fail,branch_pricing_audit_fail,proof_debt_unreleased_certified,direct_dp_certificate_leak,NO_FRACTIONAL_RF_PAIR_treated_as_integral,open_node_but_tree_optimal,incomplete_node_but_tree_optimal,wall_time,fail_closed_reason,attempted_exception_type,attempted_max_direct_tasks,rmp_memory_precheck_failed,rmp_memory_precheck_stage,rmp_memory_precheck_reason,rmp_memory_precheck_estimated_column_count,rmp_memory_precheck_estimated_tableau_cells,rmp_memory_precheck_cell_limit
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,2.191915,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,1603.616094,0.914075295,0.847824696,1.075037649,0.71148631,2.191915,2.191915,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.007381,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B2_PRODUCT_EXACT_SOLVER,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,2.191915,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,1603.616094,0.914075295,0.847824696,1.075037649,0.71148631,2.191915,2.191915,False,,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.006688,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B2B_R3_true_dual_negative_search_worker,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2.191915,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,1603.616094,0.914075295,0.847824696,1.075037649,0.71148631,2.191915,2.191915,False,2.191915,,,,0.0,False,0,1,0,0,0,0,0,0,0,0,0,True,True,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.173834,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B3A_full_universe_branch_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2.191915,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,1603.616094,0.914075295,0.847824696,1.075037649,0.71148631,2.191915,2.191915,False,,2.191915,,,0.0,False,0,1,1,1,0,0,0,0,0,0,0,True,True,True,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.11397,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_001_seed679001,B3B_seeded_branch_price_tree,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,2.191915,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1170.940804,35.987911342,1169.206943333,960.0,False,1070.328061,30.51144,1256.941483,683.026858,1603.616094,0.914075295,0.847824696,1.075037649,0.71148631,2.191915,2.191915,False,,2.191915,2.191915,0.0,0.0,True,1,1,1,1,0,0,0,1,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.185309,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_002_seed679002,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,2.363709,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1239.968705,45.559424359,1211.195510048,960.0,False,1209.807211,43.860077,1287.90292,783.251522,1768.828456,0.975675601,0.962700421,1.06333198,0.815887002,2.363709,2.363709,False,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.006143,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_002_seed679002,B2_PRODUCT_EXACT_SOLVER,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,NOT_PRICED,False,2.363709,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1239.968705,45.559424359,1211.195510048,960.0,False,1209.807211,43.860077,1287.90292,783.251522,1768.828456,0.975675601,0.962700421,1.06333198,0.815887002,2.363709,2.363709,False,,,,,0.0,False,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0.006595,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_002_seed679002,B2B_R3_true_dual_negative_search_worker,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2.363709,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1239.968705,45.559424359,1211.195510048,960.0,False,1209.807211,43.860077,1287.90292,783.251522,1768.828456,0.975675601,0.962700421,1.06333198,0.815887002,2.363709,2.363709,False,2.363709,,,,0.0,False,0,1,0,0,0,0,0,0,0,0,0,True,True,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.215212,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_002_seed679002,B3A_full_universe_branch_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,2.363709,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1239.968705,45.559424359,1211.195510048,960.0,False,1209.807211,43.860077,1287.90292,783.251522,1768.828456,0.975675601,0.962700421,1.06333198,0.815887002,2.363709,2.363709,False,,2.363709,,,0.0,False,0,1,1,1,0,0,0,0,0,0,0,True,True,True,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.163982,,,,False,,,,,
5-scale full normalized objective,5,lunar_ice_sp50_005_002_seed679002,B3B_seeded_branch_price_tree,BPC_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,True,2.363709,,,,,,lunar_ice_bpc.normalized_additive_objective.v1,normalized_operating_cost_risk_weighted_completion,1239.968705,45.559424359,1211.195510048,960.0,False,1209.807211,43.860077,1287.90292,783.251522,1768.828456,0.975675601,0.962700421,1.06333198,0.815887002,2.363709,2.363709,False,,2.363709,2.363709,0.0,0.0,True,1,1,1,1,0,0,0,1,0,0,0,,,,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0.225366,,,,False,,,,,
